 31964   7 eps   Aur Al Anz; Almaaz                                           2                     
 32068   8 zet   Aur Hoedus I(with HD32630,one of the "kids")                 2,17                  
 32068   8 zet   Aur Haedi; Haedus; Sadatoni; Saclateni                       2                     
 32630  10 eta   Aur Hoedus II (one of the kids, with HD32068)                2,17                  
 33111  67 bet   Eri Cursa                                                    2,15,17               
 33111  67 bet   Eri Dhalim                                                   2                     
 33111  67 bet   Eri Kursa                                                    2,23                  
 34029  13 alf   Aur Capella                                                  2,15,17,19,22         
 34029  13 alf   Aur Alhajoth                                                 2,17                  
 34029  13 alf   Aur Al'khajot                                               24                     
 34029  13 alf   Aur Kapella                                                 21,23,24               
 34085  19 bet   Ori Rigel                                                    2,15,17,19,22         
 34085  19 bet   Ori Algebar; Elgebar                                         2                     
 34085  19 bet   Ori Rigel'                                                  21,23,24               
 35468  24 gam   Ori Bellatrix                                                2,15,17,19,22         
 35468  24 gam   Ori the Amazon Star                                          2                     
 35468  24 gam   Ori Bellatriks                                              21,23,24               
 35497 112 bet   Tau Alnath                                                   2,19                  
 35497 112 bet   Tau Nath                                                     2,17                  
 35497 112 bet   Tau El Nath                                                  2                     
 35497 112 bet   Tau Elnath                                                  15                     
 35497 112 bet   Tau Nat                                                     21,23,24               
 35497 112 bet   Tau Ehl'nat                                                 23                     
 35497 112 bet   Tau Natkh; Ehl'Natkh                                        24                     
 36079   9 bet   Lep Nihal                                                    2,15,17,19            
 36079   9 bet   Lep Nibal                                                    2                     
 36079   9 bet   Lep Nikhal'                                                 23                     
 36486  34 del   Ori Mintaka                                                  2,15,17,19,23,24      
 36486  34 del   Ori Mintika                                                  2                     
 36512  36 ups   Ori Thabit; Tabit(see HD30652)                               2                     
 36673  11 alf   Lep Arneb                                                    2,15,17,19,23,24      
 36861  39 lam   Ori Heka                                                     2,17                  
 36861  39 lam   Ori Meissa                                                   2                     
 36861  39 lam   Ori Kheka; Al'kheka; Mejssa                                 24                     
 37043  44 iot   Ori Hatysa                                                   2,17                  
 37043  44 iot   Ori Nair al Saif                                             2                     
 37128  46 eps   Ori Alnilam                                                  2,15,17,19            
 37128  46 eps   Ori Alnihan; Alnitam                                         2                     
 37128  46 eps   Ori Al'nilam                                                23,24                  
 37742  50 zet   Ori Alnitak                                                  2,17,19               
 37742  50 zet   Ori Alnitah                                                  2                     
 37742  50 zet   Ori Al'nitak                                                23,24                  
 37795     alf   Col Phakt                                                    2,17                  
 37795     alf   Col Phact                                                    2,15                  
 37795     alf   Col Phaet; Phad(also HD103287)                               2                     
 37795     alf   Col Fakt                                                    21,23,24               
 38771  53 kap   Ori Saiph                                                    2,15,17,19            
 38771  53 kap   Ori Saif                                                    23                     
 39425     bet   Col Wazn                                                     2,15                  
 39425     bet   Col Wezn                                                     2                     
 39801  58 alf   Ori Betelgeuse                                               2,15,17,19,22         
 39801  58 alf   Ori Betelguex; Betelgeuze; Beteiguex; Al Mankib              2                     
 39801  58 alf   Ori Betel'gejze                                             21,23,24               
 40183  34 bet   Aur Menkalinan                                               2,15,17,21,23,24      
 40183  34 bet   Aur Menkalina                                                2                     
 41116   1       Gem Propus(also HD42995,58207)                               2                     
 42995   7 eta   Gem Tejat Prior                                              2,17                  
 42995   7 eta   Gem Propus(also HD41116,58207)                               2,23                  
 42995   7 eta   Gem Praepes                                                  2                     
 42995   7 eta   Gem Teyat Prior; Prop                                       24                     
 44402   1 zet   CMa Furud                                                    2,15,17,23            
 44402   1 zet   CMa Phurud                                                   2                     
 44478  13 mu.   Gem Tejat Posterior                                          2,17                  
 44478  13 mu.   Gem Calx; Pish Pai                                           2                     
 44478  13 mu.   Gem Teyat Posterior; Dirakh                                 24                     
 44743   2 bet   CMa Mirzam                                                   2,15,17,21,23,24      
 44743   2 bet   CMa Murzim                                                   2,23                  
 44743   2 bet   CMa Mirza(also HD53244,116656)                               2                     
 44743   2 bet   CMa Mirtsam                                                 23,24                  
 45348     alf   Car Canopus                                                  2,15,17,19,22         
 45348     alf   Car Suhel                                                    2,17                  
 45348     alf   Car Suhail                                                   2                     
 45348     alf   Car Sukhejl'                                                24                     
 45348     alf   Car Kanopus                                                 21,23,24               
 47105  24 gam   Gem Alhena                                                   2,15,17,19            
 47105  24 gam   Gem Al'khena                                                23,24                  
 48329  27 eps   Gem Mebsuta                                                  2,15,17,23            
 48329  27 eps   Gem Melucta; Meboula                                         2                     
 48737  31 ksi   Gem Alzirr                                                   2                     
 48915   9 alf   CMa Sirius                                                   2,15,17,19,21,22,23,24
 48915   9 alf   CMa Canicula                                                 2,17                  
 48915   9 alf   CMa Dog Star; Aschere                                        2                     
 51250  18 mu.   CMa Isida                                                   24                     
 52089  21 eps   CMa Adara                                                    2,17,23,24            
 52089  21 eps   CMa Adhara                                                   2,15,19               
 52973  43 zet   Gem Mekbuda                                                  2,17,23,24            
 53244  23 gam   CMa Muliphein                                                2,17                  
 53244  23 gam   CMa Muliphen; Isis; Mirza(also HD44743,116656)               2                     
 54605  25 del   CMa Wezen                                                    2,17                  
 54605  25 del   CMa Alwazn; Wesen; Al Wazor                                  2                     
 54605  25 del   CMa Vezen                                                   23                     
 56986  55 del   Gem Wasat                                                    2,15,17               
 56986  55 del   Gem Wesat                                                    2                     
 56986  55 del   Gem Vasat                                                   24                     
 56986  55 del   Gem Vazad                                                   23                     
 58207  60 iot   Gem Propus(see HD41116,42995)                                2                     
 58350  31 eta   CMa Aludra                                                   2,15,17,23            
 58715   3 bet   CMi Gomeisa                                                  2,15,17               
 58715   3 bet   CMi Algomeyla; Gomelza                                       2                     
 58715   3 bet   CMi Gomejsa                                                 23                     
 58715   3 bet   CMi Gomejza                                                 24                     
 60178  66 alf   Gem Castor                                                  15,17                  
 60178  66 alf   Gem Kastor                                                  21,23,24               
 60179  66 alf   Gem Castor                                                   2,19,22               
 60179  66 alf   Gem Apollo                                                   2                     
 60179  66 alf   Gem Kastor                                                  21,23,24               
 61421  10 alf   CMi Procyon                                                  2,15,17,19,22         
 61421  10 alf   CMi Elgomaisa                                                2,17                  
 61421  10 alf   CMi Algomeysa; Antecanis                                     2                     
 61421  10 alf   CMi Protsion                                                21,23,24               
 61421  10 alf   CMi Ehl'gomajza                                             24                     
 61555     kap01 Pup Markeb(see HD79940)                                      2,17                  
 61555     kap01 Pup Markab                                                   2                     
 62509  78 bet   Gem Pollux                                                   2,15,17,19,22         
 62509  78 bet   Gem Hercules                                                 2                     
 62509  78 bet   Gem Polluks                                                 21,23,24               
 63700   7 ksi   Pup Azmidiske                                                2,17                  
 63700   7 ksi   Pup Asmidiske(also applied to HD80404)                       2                     
 66811     zet   Pup Naos                                                     2,17,23               
 66811     zet   Pup Suhail Hadar                                             2                     
 68257  16 zet01 Cnc Tegmen; Tegmine                                          2                     
 68273     gam02 Vel Suhail al Muhlif; Al Suhail al Muhlif                    2                     
 68273     gam02 Vel "Spectral Gem of Southern Skies"                         2                     
 68273     gam02 Vel Regor                                                   23                     
 69267  17 bet   Cnc Altarf; Al Tarf                                          2                     
 69267  17 bet   Cnc Tarf                                                    23                     
 70272  31       Lyn Alsciaukat; Mabsuthat                                    2                     
 71129     eps   Car Avior                                                    2,15,23               
 71369   1 omi   UMa Muscida(also HD72905,73108)                              2,15                  
 72905   3 pi.01 UMa Muscida(also HD71369,73108)                              2                     
 73108   4 pi.02 UMa Muscida(also HD71369,72905)                              2,17                  
 73471   5 sig   Hya Al Minliar al Shuja; Minchir                             2                     
 73731  41 eps   Cnc Praesepe                                                17                     
 73731  41 eps   Cnc Prezepe                                                 21,24                  
 74198  43 gam   Cnc Asellus Borealis                                         2,15,17               
 74198  43 gam   Cnc Severnyj Oslenok                                        24                     
 74442  47 del   Cnc Asellus Australis                                        2,15,17               
 74442  47 del   Cnc Juzhnyj Oslenok                                         24                     
 76644   9 iot   UMa Talitha                                                  2,15,17               
 76644   9 iot   UMa Talita                                                   2                     
 76756  65 alf   Cnc Acubens                                                  2,15,17               
 76756  65 alf   Cnc Sertan                                                   2,17                  
 76756  65 alf   Cnc Sartan                                                   2                     
 76756  65 alf   Cnc Akubens                                                 23,24                  
 78647     lam   Vel Alsuhail                                                 2,17                  
 78647     lam   Vel Al Suhail al Wazn; Suhail                                2                     
 78647     lam   Vel Al' Sukhal'                                             23                     
 79940     k     Vel Markeb(see HD61555)                                     24                     
 80007     bet   Car Miaplacidus                                              2,15,17               
 80007     bet   Car Miaplatsidus                                            23                     
