Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 4150;H400 213 - UGC 7165;12h10m34s;30d24m05s;Coma Berenices;Galaxy;11.4;12.6;2.3'x1.6';147;33;-;-;XS(26/4);
NGC 4151;H400 214 - UGC 7166;12h10m32s;39d24m22s;Canes Venatici;Galaxy;10.2;13.8;6.8'x5.3';50;21;-;-;XS(35/9);
NGC 4179;H400 215 - UGC 7214;12h12m52s;01d17m57s;Virgo;Galaxy;10.9;12.5;4.2'x1.3';143;57;-;-;XS(24/5);
NGC 4203;H400 216 - UGC 7256;12h15m05s;33d11m49s;Coma Berenices;Galaxy;10.7;13.1;3.5'x3.2';10;33;-;-;XS(36/6);
NGC 4214;H400 217 - NGC 4228;12h15m39s;36d19m37s;Canes Venatici;Galaxy;9.2;13.4;8.4'x7.2';155;33;-;-;XS(47/5);
NGC 4216;H400 218 - UGC 7284 - Silver Streak galaxy;12h15m54s;13d08m50s;Virgo;Galaxy;10.3;12.9;7.8'x1.8';19;45;-;-;XS(57/11);
NGC 4245;H400 219 - UGC 7328;12h17m37s;29d36m25s;Coma Berenices;Galaxy;11.3;13.3;3.3'x2.4';165;33;-;-;XS(32/4);
NGC 4251;H400 220 - UGC 7338;12h18m08s;28d10m29s;Coma Berenices;Galaxy;10.6;12.7;3.6'x2.5';100;33;-;-;XS(34/6);
M 106;H400 221 - NGC 4258;12h18m58s;47d18m23s;Canes Venatici;Galaxy;8.3;13.2;17.4'x6.6';150;21;-;-;XS(197/27);
NGC 4261;H400 222 - UGC 7360;12h19m23s;05d49m26s;Virgo;Galaxy;10.4;13.0;3.8'x3.5';160;57;-;-;XS(25/3);
NGC 4273;H400 223 - UGC 7380;12h19m56s;05d20m35s;Virgo;Galaxy;11.6;12.7;2.3'x1.5';10;57;-;-;XS(25/5);
NGC 4274;H400 224 - UGC 7377;12h19m51s;29d36m47s;Coma Berenices;Galaxy;10.4;13.2;6.8'x2.4';102;33;-;-;XS(46/9);
