Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 40;Caldwell 2 - H400 1 - PK 120+09.01;00h13m01s;72d31m20s;Cepheus;Planetary nebula;10.7;13.7;0.8'x0.8';;7;-;-;XS(101/22);
NGC 129;H400 2 - OCL 294 - Cr 2;00h30m00s;60d13m06s;Cassiopeia;Open cluster;6.5;12.9;21.0'x21.0';;15;-;-;XS(90/9);
NGC 136;H400 3 - OCL 295 - Cr 4;00h31m31s;61d30m33s;Cassiopeia;Open cluster;11.5;11.6;1.2'x1.2';;15;-;-;XS(53/7);
NGC 157;H400 4 - MCG -02-02-056;00h34m46s;-08d23m48s;Cetus;Galaxy;10.2;12.6;4.1'x2.7';40;75;-;-;XS(40/6);
NGC 185;Caldwell 18 - H400 5 - UGC 396;00h38m58s;48d20m12s;Cassiopeia;Galaxy;9.3;14.3;12.5'x10.4';35;27;-;-;XS(121/20);
M 110;H400 6 - NGC 205;00h40m22s;41d41m05s;Andromeda;Galaxy;7.9;13.5;19.5'x11.5';170;27;-;-;XS(293/18);
NGC 225;H400 7 - OCL 305 - Sailboat Cluster - Cr 7;00h43m36s;61d46m00s;Cassiopeia;Open cluster;7.0;12.1;12.0'x12.0';;15;-;-;XS(79/8);
NGC 246;Caldwell 56 - H400 8 - PK 118-74.01;00h47m04s;-11d52m22s;Cetus;Planetary nebula;10.3;13.1;4.1'x4.1';;75;-;-;XS(80/10);
NGC 247;Caldwell 62 - H400 9 - ESO 540-22;00h47m08s;-20d45m38s;Cetus;Galaxy;8.9;13.8;21.0'x5.6';174;75;-;-;XS(57/7);
NGC 253;Caldwell 65 - H400 10 - ESO 474-29 - Sculptor Galaxy - Silver Coin Galaxy;00h47m33s;-25d17m17s;Sculptor;Galaxy;7.2;12.4;26.4'x6.0';52;87;-;-;XS(89/14);
NGC 278;H400 11 - UGC 528;00h52m05s;47d33m01s;Cassiopeia;Galaxy;10.7;12.3;2.4'x2.4';;27;-;-;XS(82/15);
NGC 288;H400 12 - ESO 474-SC37 - Mel 3;00h52m46s;-26d35m12s;Sculptor;Globular cluster;8.1;13.3;12.4'x12.4';;87;-;-;XS(57/7);
NGC 381;H400 13 - OCL 317 - Cr 10;01h08m24s;61d34m54s;Cassiopeia;Open cluster;9.3;12.9;6.0'x6.0';;15;-;-;XS(64/6);
NGC 404;H400 14 - UGC 718 - Mirach's Ghost;01h09m27s;35d43m04s;Andromeda;Galaxy;10.0;12.8;4.3'x3.9';;39;-;-;XS(130/17);
NGC 436;H400 15 - OCL 320 - Mel 6 - Cr 11;01h15m58s;58d49m02s;Cassiopeia;Open cluster;8.8;12.4;6.0'x6.0';;15;-;-;XS(73/8);
NGC 457;Caldwell 13 - H400 16 - OCL 321 - Dragonfly Cluster - ET Cluster - Owl Cluster - Phi Cassiopeiae Cluster - Mel 7 - Cr 12;01h19m33s;58d17m27s;Cassiopeia;Open cluster;6.4;11.7;13.0'x13.0';;15;-;-;XS(179/24);
NGC 488;H400 17 - UGC 907;01h21m47s;05d15m19s;Pisces;Galaxy;10.4;13.5;5.4'x3.9';15;63;-;-;XS(40/8);
NGC 524;H400 18 - UGC 968;01h24m48s;09d32m17s;Pisces;Galaxy;10.3;12.6;3.2'x3.2';;51;-;-;XS(41/6);
NGC 559;Caldwell 8 - H400 19 - OCL 322 - Cr 13;01h29m31s;63d18m41s;Cassiopeia;Open cluster;9.5;12.5;4.4'x4.4';;15;-;-;XS(54/7);
NGC 584;H400 20 - IC 1712;01h31m20s;-06d52m04s;Cetus;Galaxy;10.4;12.0;2.8'x1.9';61;63;-;-;XS(38/6);
NGC 596;H400 21 - MCG -01-05-005;01h32m52s;-07d01m57s;Cetus;Galaxy;10.8;12.5;2.8'x2.1';40;75;-;-;XS(32/4);
M 33;H400 22 - NGC 598 - Triangulum Galaxy - Triangulum Pinwheel Galaxy;01h33m52s;30d39m27s;Triangulum;Galaxy;5.5;13.9;68.7'x41.6';23;39;-;-;XS(372/33);
NGC 613;H400 23 - ESO 413-11;01h34m18s;-29d25m09s;Sculptor;Galaxy;9.9;13.0;5.2'x4.3';120;87;-;-;XS(26/2);
NGC 615;H400 24 - MCG -01-05-008;01h35m06s;-07d20m27s;Cetus;Galaxy;11.7;13.1;3.4'x1.4';155;75;-;-;XS(32/5);
NGC 637;H400 25 - OCL 329 - Cr 17;01h43m03s;64d02m12s;Cassiopeia;Open cluster;8.2;10.7;3.5'x3.5';;15;-;-;XS(64/8);
M 76;H400 26 - NGC 650 - Barbell Nebula - Cork Nebula - Little Dumbbell Nebula;01h42m21s;51d34m07s;Perseus;Planetary nebula;10.0;9.9;1.1'x1.1';;27;-;-;XS(223/30);
NGC 654;H400 27 - OCL 330 - Mel 9 - Cr 18;01h43m59s;61d52m58s;Cassiopeia;Open cluster;6.5;9.7;5.0'x5.0';;15;-;-;XS(98/7);
NGC 659;H400 28 - OCL 332 - Mel 10 - Cr 19;01h44m23s;60d40m09s;Cassiopeia;Open cluster;7.9;11.1;5.0'x5.0';;15;-;-;XS(82/9);
NGC 663;Caldwell 10 - H400 29 - OCL 333 - Mel 11 - Cr 20 - Diamond Cluster;01h46m02s;61d14m06s;Cassiopeia;Open cluster;7.1;12.9;16.0'x16.0';;15;-;-;XS(152/18);
NGC 720;H400 30 - MCG -02-05-068;01h53m00s;-13d44m21s;Cetus;Galaxy;10.2;12.4;4.4'x2.2';135;75;-;-;XS(30/5);
NGC 752;Caldwell 28 - H400 31 - OCL 363 - Mel 12 - Cr 23;01h57m42s;37d47m00s;Andromeda;Open cluster;5.7;13.9;50'x50';;27;-;-;XS(125/10);
NGC 772;H400 32 - UGC 1466;01h59m20s;19d00m25s;Aries;Galaxy;10.3;13.8;7.5'x4.3';130;51;-;-;XS(113/11);
NGC 779;H400 33 - MCG -01-06-016;01h59m43s;-05d57m53s;Cetus;Galaxy;11.1;12.6;4.1'x1.2';160;63;-;-;XS(31/4);
NGC 869;H400 34 - OCL 350 - h Persei - Mel 13 - Cr 24 - Markarian 4 - Caldwell 14a;02h19m04s;57d08m06s;Perseus;Open cluster;5.3;12.4;30.0'x30.0';;15;-;-;XS(283/17);
NGC 884;Caldwell 14b - H400 35 - OCL 353 - Chi Persei - Mel 14 - Cr 25 - Markarian 5;02h22m32s;57d08m39s;Perseus;Open cluster;6.1;13.2;30.0'x30.0';;15;-;-;XS(278/10);
NGC 891;Caldwell 23 - H400 36 - UGC 1831 - Silver Sliver Galaxy;02h22m33s;42d20m48s;Andromeda;Galaxy;9.9;13.6;13.1'x2.8';22;26;-;-;XS(205/23);
NGC 908;H400 37 - ESO 545-11;02h23m05s;-21d14m02s;Cetus;Galaxy;10.1;12.9;6.1'x2.7';75;74;-;-;XS(28/4);
NGC 936;H400 38 - UGC 1929;02h27m38s;-01d09m25s;Cetus;Galaxy;10.1;12.9;4.3'x3.8';135;62;-;-;XS(44/7);
NGC 1022;H400 39 - MCG -01-07-025;02h38m32s;-06d40m41s;Cetus;Galaxy;11.2;13.0;2.6'x2.5';;62;-;-;XS(33/3);
NGC 1023;H400 40 - UGC 2154;02h40m24s;39d03m46s;Perseus;Galaxy;9.5;12.8;8.1'x3.4';87;26;-;-;XS(131/17);
NGC 1027;H400 41 - OCL 357 - Mel 16 - Mel 16 - Cr 30;02h42m35s;61d35m40s;Cassiopeia;Open cluster;6.7;12.9;20.0'x20.0';;15;-;-;XS(62/7);
NGC 1052;H400 42 - MCG -01-07-034;02h41m05s;-08d15m19s;Cetus;Galaxy;10.4;12.0;2.8'x2.0';120;74;-;-;XS(37/5);
NGC 1055;H400 43 - UGC 2173;02h41m45s;00d26m32s;Cetus;Galaxy;10.6;13.7;7.6'x3.0';105;62;-;-;XS(61/5);
NGC 1084;H400 44 - MCG -01-08-007;02h46m00s;-07d34m42s;Eridanus;Galaxy;10.6;12.5;3.5'x2.1';34;74;-;-;XS(30/4);
NGC 1245;H400 45 - OCL 389 - Mel 18 - Cr 38;03h14m41s;47d14m19s;Perseus;Open cluster;8.4;13.1;10.0'x10.0';;26;-;-;XS(70/9);
NGC 1342;H400 46 - OCL 401 - Mel 21 - Cr 40;03h31m40s;37d22m28s;Perseus;Open cluster;6.7;12.2;14.0'x14.0';;26;-;-;XS(64/9);
NGC 1407;H400 47 - ESO 548-67;03h40m12s;-18d34m51s;Eridanus;Galaxy;9.7;12.8;4.9'x4.5';35;74;-;-;XS(27/3);
NGC 1444;H400 48 - OCL 394 - Cr 43 - Markarian 9;03h49m23s;52d39m44s;Perseus;Open cluster;6.6;9.4;4.0'x4.0';;14;-;-;XS(53/6);
NGC 1501;H400 49 - PK 144+06.01;04h07m01s;60d55m03s;Camelopardalis;Planetary nebula;11.8;11.2;0.9'x0.9';;14;-;-;XS(88/12);
NGC 1502;H400 50 - OCL 383 - Cr 45 - Golden Harp Cluster - Markarian 10;04h07m49s;62d19m54s;Camelopardalis;Open cluster;6.9;11.2;8.0'x8.0';;14;-;-;XS(86/13);
NGC 1513;H400 51 - OCL 398 - Cr 46;04h09m55s;49d31m02s;Perseus;Open cluster;8.4;12.9;9.0'x9.0';;25;-;-;XS(59/5);
NGC 1528;H400 52 - OCL 397 - Mel 23 - Cr 47;04h15m19s;51d12m41s;Perseus;Open cluster;6.4;13.0;24.0'x24.0';;25;-;-;XS(95/8);
NGC 1535;H400 53 - PK 206-40.01 - Cleopatra's Eye;04h14m17s;-12d44m11s;Eridanus;Planetary nebula;9.3;6.8;21.0''x21.0'';;73;-;-;XS(57/9);
NGC 1545;H400 54 - OCL 399 - Cr 49;04h20m56s;50d15m19s;Perseus;Open cluster;6.2;12.2;18.0'x18.0';;25;-;-;XS(70/5);
NGC 1647;H400 55 - OCL 457 - Cr 54 - Mel 26;04h45m56s;19d05m42s;Taurus;Open cluster;6.4;14.4;45'x45';;49;-;-;XS(93/6);
NGC 1664;H400 56 - OCL 411 - Cr 56 - Mel 27;04h51m05s;43d40m34s;Auriga;Open cluster;7.6;13.6;18.0'x18.0';;25;-;-;XS(78/4);
NGC 1788;H400 57 - LBN 916;05h06m54s;-03d21m00s;Orion;Reflection nebula;0.0;0.0;4.0'x2.0';105;61;-;-;XS(52/8);
NGC 1817;H400 58 - OCL 463 - Cr 60;05h12m15s;16d41m24s;Taurus;Open cluster;7.7;13.5;16.0'x16.0';;49;-;-;XS(74/4);
NGC 1857;H400 59 - OCL 428 - Cr 61 - Mel 32;05h20m07s;39d20m36s;Auriga;Open cluster;7.0;10.6;10.0'x6.0';;25;-;-;XS(67/3);
NGC 1907;H400 60 - OCL 434 - Cr 66 - Mel 35;05h28m05s;35d19m32s;Auriga;Open cluster;8.2;12.2;7.0'x7.0';;37;-;-;XS(112/6);
NGC 1931;H400 61 - OCL 441 - Stock 9;05h31m27s;34d12m51s;Auriga;H-II;0.0;0.0;3.0'x3.0';;37;-;-;XS(69/11);
NGC 1961;H400 62 - IC 2133 - Arp 184;05h42m04s;69d22m41s;Camelopardalis;Galaxy;10.9;13.5;4.5'x3.1';85;6;-;-;XS(34/4);
NGC 1964;H400 63 - ESO 554-10;05h33m22s;-21d56m45s;Lepus;Galaxy;10.8;13.2;5.5'x2.1';32;73;-;-;XS(29/5);
NGC 1980;H400 64 - OCL 529;05h35m26s;-05d54m37s;Orion;Cluster with nebulosity;0.0;0.0;14.0'x14.0';;61;-;-;XS(60/7);
NGC 1999;H400 65 - LBN 979;05h36m30s;-06d43m00s;Orion;Reflection nebula and H-II;0.0;0.0;2.0'x2.0';;61;-;-;XS(63/11);
NGC 2022;H400 66 - PK 196-10.01;05h42m06s;09d05m18s;Orion;Planetary nebula;11.5;8.8;19.0''x19.0'';;49;-;-;XS(93/11);
NGC 2024;H400 67 - Ced 55p - Flame Nebula - Orion B - Tank tracks;05h42m00s;-01d50m00s;Orion;Reflection nebula and H-II;0.0;0.0;14.0'x12.0';80;61;-;-;XS(97/6);
NGC 2126;H400 68 - OCL 418 - Cr 78 - Mel 39;06h02m33s;49d51m57s;Auriga;Open cluster;10.2;13.8;6.0'x6.0';;24;-;-;XS(50/3);
NGC 2129;H400 69 - OCL 467 - Cr 77;06h00m42s;23d19m04s;Gemini;Open cluster;6.7;10.7;7.0'x7.0';;36;-;-;XS(60/3);
NGC 2158;H400 70 - OCL 468 - Cr 81 - Mel 40;06h07m26s;24d05m46s;Gemini;Open cluster;8.6;11.8;5.0'x5.0';;36;-;-;XS(172/6);
NGC 2169;H400 71 - OCL 481 - 37 Cluster - LE Cluster - Cr 83;06h08m24s;13d57m53s;Orion;Open cluster;5.9;9.9;7.0'x7.0';;48;-;-;XS(90/10);
NGC 2185;H400 72 - LBN 997 - Ced 70;06h11m00s;-06d13m37s;Monoceros;Reflection nebula;12.9;0.0;5.0'x3.0';;60;-;-;XS(28/1);
NGC 2186;H400 73 - OCL 498 - Cr 85;06h12m07s;05d27m31s;Orion;Open cluster;8.7;11.5;4.0'x4.0';;60;-;-;XS(46/3);
NGC 2194;H400 74 - OCL 495 - Cr 87 - Mel 43;06h13m46s;12d48m24s;Orion;Open cluster;8.5;13.2;10.0'x10.0';;48;-;-;XS(52/4);
NGC 2204;H400 75 - OCL 572 - Cr 88 - Mel 44;06h15m32s;-18d39m57s;Canis Major;Open cluster;8.6;13.9;13.0'x13.0';;72;-;-;XS(25/4);
NGC 2215;H400 76 - OCL 550 - Cr 90 - Mel 45;06h20m49s;-07d17m02s;Monoceros;Open cluster;8.4;13.3;11.0'x11.0';;72;-;-;XS(44/3);
NGC 2232;H400 77 - OCL 545 - Cr 93;06h28m01s;-04d50m51s;Monoceros;Open cluster;3.9;11.0;30.0'x30.0';;60;-;-;XS(52/5);
NGC 2244;Caldwell 50 - H400 78 - NGC 2239 - Cr 99 - Rosette Cluster - Mel 47 - Markarian 15;06h31m55s;04d56m35s;Monoceros;Open cluster;3.8;10.4;24.0'x24.0';;60;-;-;XS(128/9);
NGC 2251;H400 79 - OCL 499 - Cr 101;06h34m38s;08d21m59s;Monoceros;Open cluster;7.3;12.0;10.0'x10.0';;48;-;-;XS(43/2);
NGC 2264;H400 80 - OCL 495 - Christmas Tree Cluster - X-mas Tree Cluster - Cr 112 - Mel 49 - Markarian 16 - Mel 49 - Lund 246 - XMAS TREE CL;06h40m58s;09d53m42s;Monoceros;Cluster with nebulosity;3.9;0.0;39'x20.0';;48;-;-;XS(113/13);
NGC 2266;H400 81 - OCL 471 - Cr 113 - Mel 50;06h43m19s;26d58m10s;Gemini;Open cluster;9.5;13.5;7.0'x7.0';;36;-;-;XS(58/4);
NGC 2281;H400 82 - OCL 446 - Cr 116 - Mel 51;06h48m18s;41d04m44s;Auriga;Open cluster;5.4;11.0;15.0'x15.0';;24;-;-;XS(61/4);
NGC 2286;H400 83 - OCL 548 - Cr 117;06h47m40s;-03d08m52s;Monoceros;Open cluster;7.5;13.1;15.0'x15.0';;60;-;-;XS(33/4);
NGC 2301;H400 84 - OCL 540 - Cr 119 - Great bird of the galaxy - Mel 54;06h51m45s;00d27m33s;Monoceros;Open cluster;6.0;11.1;12.0'x12.0';;60;-;-;XS(55/5);
NGC 2304;H400 85 - OCL 484 - Cr 120 - Mel 55;06h55m12s;17d59m19s;Gemini;Open cluster;10.0;13.2;5.0'x5.0';;48;-;-;XS(44/2);
NGC 2311;H400 86 - OCL 553 - Cr 123;06h57m47s;-04d36m41s;Monoceros;Open cluster;9.6;13.6;7.0'x7.0';;60;-;-;XS(34/2);
NGC 2324;H400 87 - OCL 542 - Cr 125 - Mel 59;07h04m08s;01d02m41s;Monoceros;Open cluster;8.4;12.7;8.0'x8.0';;60;-;-;XS(34/3);
NGC 2335;H400 88 - OCL 562 - Cr 127 - Mel 60;07h06m49s;-10d01m43s;Monoceros;Open cluster;7.2;12.3;12.0'x12.0';;72;-;-;XS(39/3);
NGC 2343;H400 89 - OCL 565 - Cr 128;07h08m07s;-10d37m00s;Monoceros;Open cluster;6.7;10.7;7.0'x7.0';;72;-;-;XS(42/3);
NGC 2353;H400 90 - OCL 567 - Cr 130 - Mel 62;07h14m30s;-10d15m57s;Monoceros;Open cluster;7.1;13.3;20.0'x20.0';;72;-;-;XS(37/3);
NGC 2354;H400 91 - OCL 639 - Cr 131;07h14m15s;-25d41m33s;Canis Major;Open cluster;6.5;12.7;20.0'x20.0';;84;-;-;XS(28/3);
NGC 2355;H400 92 - NGC 2356 - Cr 133 - Mel 63;07h16m59s;13d45m00s;Gemini;Open cluster;8.7;13.2;9.0'x9.0';;48;-;-;XS(46/3);
NGC 2360;Caldwell 58 - H400 93 - OCL 589 - Cr 134 - Mel 64;07h17m43s;-15d38m29s;Canis Major;Open cluster;7.2;12.5;13.0'x13.0';;72;-;-;XS(46/3);
NGC 2362;Caldwell 64 - H400 94 - OCL 633 - Mexican Jumping Star - Tau CMa cluster - Cr 136 - Mel 65 - Markarian 17;07h18m41s;-24d57m15s;Canis Major;Open cluster;4.1;8.4;8.0'x8.0';;84;-;-;XS(55/7);
NGC 2371/2;NGC 2372 - NGC 2371 - H400 96 - H400 95 - Gemini Nebula - NGC 2371-72 - ARO 45 - PK 189+19.01 - VV 37 - VV ' 61;07h25m36s;29d30m00s;Gemini;Planetary nebula;12.0;11.6;;;36;-;-;XS(98/17);
NGC 2392;Caldwell 39 - H400 97 - PK 197+17.01 - Clown Nebula - Clown Face Nebula - Eskimo Nebula;07h29m11s;20d54m37s;Gemini;Planetary nebula;9.1;6.4;19.5''x19.5'';;48;-;-;XS(214/34);
NGC 2395;H400 98 - OCL 502 - Cr 144;07h27m13s;13d36m30s;Gemini;Open cluster;8.0;13.1;12.0'x12.0';;48;-;-;XS(45/4);
NGC 2403;Caldwell 7 - H400 99 - UGC 3918;07h36m51s;65d36m04s;Camelopardalis;Galaxy;8.1;13.9;23.4'x11.8';127;13;-;-;XS(84/17);
NGC 2419;Caldwell 25 - H400 100 - GCL 12 - Intergalactic Tramp - Intergalactic Wanderer;07h38m08s;38d52m55s;Lynx;Globular cluster;10.4;14.1;6.2'x6.2';;24;-;-;XS(84/14);
NGC 2420;H400 101 - OCL 488 - Cr 154 - Mel 69;07h38m24s;21d34m27s;Gemini;Open cluster;8.3;13.0;10.0'x10.0';;48;-;-;XS(63/3);
NGC 2421;H400 102 - OCL 626 - Cr 151 - Mel 67;07h36m12s;-20d36m44s;Puppis;Open cluster;8.3;13.0;10.0'x10.0';;72;-;-;XS(19/2);
M 47;H400 103 - NGC 2422 - OCL 596 - NGC 2478 - Cr 152 - Mel 68;07h36m36s;-14d29m00s;Puppis;Open cluster;4.4;11.5;29.0'x29.0';;72;-;-;XS(171/13);
NGC 2423;H400 104 - OCL 592 - Cr 153 - Mel 70;07h37m07s;-13d52m17s;Puppis;Open cluster;6.7;12.8;19.0'x19.0';;72;-;-;XS(37/2);
NGC 2438;H400 105 - PK 231+04.02;07h41m50s;-14d44m08s;Puppis;Planetary nebula;11.4;11.3;1.1'x1.1';;72;-;-;XS(96/9);
NGC 2440;H400 106 - PK 234+02.01;07h41m55s;-18d12m33s;Puppis;Planetary nebula;9.1;6.0;16.0''x16.0'';;72;-;-;XS(32/3);
NGC 2479;H400 107 - OCL 623 - Tr 8 - Cr 167;07h55m06s;-17d42m28s;Puppis;Open cluster;9.6;13.6;7.0'x7.0';;72;-;-;XS(19/3);
NGC 2482;H400 108 - OCL 653 - Cr 166;07h55m10s;-24d15m17s;Puppis;Open cluster;7.3;12.4;12.0'x12.0';;84;-;-;XS(22/3);
NGC 2489;H400 109 - OCL 690 - Cr 169 - Mel 79;07h56m16s;-30d03m51s;Puppis;Open cluster;7.0;10.2;5.0'x5.0';;84;-;-;XS(17/3);
NGC 2506;Caldwell 54 - H400 110 - OCL 593 - Cr 170 - Mel 80;08h00m02s;-10d46m11s;Monoceros;Open cluster;7.6;11.6;7.0'x7.0';;71;-;-;XS(36/3);
NGC 2509;H400 111 - OCL 630 - Cr 171 - Mel 81;08h00m48s;-19d03m02s;Puppis;Open cluster;9.3;13.6;8.0'x8.0';;71;-;-;XS(18/3);
NGC 2527;H400 112 - NGC 2520 - Cr 174;08h04m58s;-28d08m48s;Puppis;Open cluster;5.5;12.0;22.0'x22.0';;83;-;-;XS(23/5);
NGC 2539;H400 113 - OCL 611 - Cr 176 - Mel 83;08h10m37s;-12d49m14s;Puppis;Open cluster;6.5;13.0;22.0'x22.0';;71;-;-;XS(28/3);
M 48;H400 114 - NGC 2548 - Cr 179 - Mel 85;08h13m43s;-05d45m02s;Hydra;Open cluster;5.8;14.2;54'x54';;59;-;-;XS(129/8);
NGC 2567;H400 115 - OCL 708 - Cr 180 - Mel 86;08h18m32s;-30d38m24s;Puppis;Open cluster;7.0;11.9;11.0'x11.0';;83;-;-;XS(14/3);
NGC 2571;H400 116 - OCL 701 - Cr 181;08h18m56s;-29d44m57s;Puppis;Open cluster;7.0;12.3;13.0'x13.0';;83;-;-;XS(15/3);
NGC 2613;H400 117 - ESO 495-18;08h33m23s;-22d58m24s;Pyxis;Galaxy;10.4;12.8;7.1'x1.6';113;83;-;-;XS(19/5);
NGC 2627;H400 118 - OCL 714 - Cr 188 - Mel 87;08h37m15s;-29d57m01s;Pyxis;Open cluster;8.4;13.3;11.0'x11.0';;83;-;-;XS(16/3);
NGC 2655;H400 119 - UGC 4637 - Arp 225;08h55m38s;78d13m23s;Camelopardalis;Galaxy;10.0;13.0;4.9'x4.1';85;5;-;-;XS(50/9);
NGC 2681;H400 120 - UGC 4645;08h53m32s;51d18m45s;Ursa Major;Galaxy;10.1;12.7;3.7'x3.7';;23;-;-;XS(43/9);
NGC 2683;H400 121 - UGC 4641;08h52m41s;33d25m10s;Lynx;Galaxy;9.7;12.8;8.8'x2.5';44;35;-;-;XS(81/19);
NGC 2742;H400 122;09h07m33s;60d28m44s;Ursa Major;Galaxy;11.4;12.8;3.0'x1.5';87;12;-;-;XS(33/5);
NGC 2768;H400 123 - UGC 4821;09h11m37s;60d02m09s;Ursa Major;Galaxy;9.9;13.7;8.2'x5.3';95;12;-;-;XS(42/6);
NGC 2775;Caldwell 48 - H400 124 - UGC 4820;09h10m20s;07d02m12s;Cancer;Galaxy;10.3;13.1;4.5'x3.6';155;47;-;-;XS(47/5);
NGC 2782;H400 125 - UGC 4862 - Arp 215;09h14m05s;40d06m47s;Lynx;Galaxy;11.4;13.5;3.7'x2.4';40;23;-;-;XS(27/5);
NGC 2787;H400 126 - UGC 4914;09h19m18s;69d12m11s;Ursa Major;Galaxy;10.8;12.4;3.1'x1.8';117;5;-;-;XS(39/6);
NGC 2811;H400 127 - MCG -03-24-003;09h16m11s;-16d18m47s;Hydra;Galaxy;11.4;11.6;2.2'x0.7';20;71;-;-;XS(19/4);
NGC 2841;H400 128 - UGC 4966;09h22m02s;50d58m33s;Ursa Major;Galaxy;9.3;12.6;7.7'x3.6';147;23;-;-;XS(61/11);
NGC 2859;H400 129 - UGC 5001;09h24m19s;34d30m46s;Leo Minor;Galaxy;10.8;13.4;4.0'x3.6';85;35;-;-;XS(40/5);
NGC 2903;H400 130 - UGC 5079;09h32m10s;21d29m55s;Leo;Galaxy;8.8;13.1;12.0'x5.6';17;47;-;-;XS(191/31);
NGC 2950;H400 131 - UGC 5176;09h42m35s;58d51m03s;Ursa Major;Galaxy;10.9;12.4;2.7'x1.8';145;12;-;-;XS(33/4);
NGC 2964;H400 132 - UGC 5183;09h42m54s;31d50m47s;Leo;Galaxy;11.2;12.7;3.0'x1.7';97;35;-;-;XS(40/6);
NGC 2974;H400 133 - MCG +00-25-008;09h42m33s;-03d41m59s;Sextans;Galaxy;10.9;12.8;3.4'x2.1';42;59;-;-;XS(20/4);
NGC 2976;H400 134 - UGC 5221;09h47m15s;67d55m01s;Ursa Major;Galaxy;10.1;13.1;6.2'x3.1';143;5;-;-;XS(74/9);
NGC 2985;H400 135 - UGC 5253;09h50m21s;72d16m41s;Ursa Major;Galaxy;10.4;13.1;4.6'x3.4';175;5;-;-;XS(43/6);
M 82;H400 136 - NGC 3034 - Cigar Galaxy - Ursa Major A - Arp 337;09h55m54s;69d40m57s;Ursa Major;Galaxy;8.6;12.7;10.5'x5.1';65;5;-;-;XS(446/56);
NGC 3077;H400 137 - UGC 5398;10h03m20s;68d44m04s;Ursa Major;Galaxy;10.0;13.2;5.2'x4.7';45;5;-;-;XS(129/16);
NGC 3079;H400 138 - UGC 5387;10h01m58s;55d40m51s;Ursa Major;Galaxy;10.7;13.0;8.1'x1.3';165;12;-;-;XS(55/10);
NGC 3115;Caldwell 53 - H400 139 - MCG -01-26-018 - Spindle Galaxy;10h05m14s;-07d43m07s;Sextans;Galaxy;9.1;12.3;7.3'x3.4';43;70;-;-;XS(52/13);
NGC 3147;H400 140 - UGC 5532;10h16m53s;73d23m59s;Draco;Galaxy;10.6;13.3;4.3'x3.7';155;5;-;-;XS(50/7);
NGC 3166;H400 141 - UGC 5516;10h13m45s;03d25m31s;Sextans;Galaxy;10.4;12.5;4.8'x1.9';87;58;-;-;XS(37/5);
NGC 3169;H400 142 - UGC 5525;10h14m15s;03d27m59s;Sextans;Galaxy;10.3;12.8;4.2'x2.9';45;58;-;-;XS(37/6);
NGC 3184;H400 143 - UGC 5557;10h18m17s;41d25m22s;Ursa Major;Galaxy;9.5;13.6;7.6'x7.4';135;22;-;-;XS(67/8);
NGC 3190;H400 144 - UGC 5559 - Hickson 44A;10h18m06s;21d49m56s;Leo;Galaxy;11.1;12.8;4.0'x1.5';125;46;-;-;XS(82/16);
NGC 3193;H400 145 - UGC 5562 - Hickson 44B;10h18m25s;21d53m36s;Leo;Galaxy;10.8;12.8;2.9'x2.8';;46;-;-;XS(81/13);
NGC 3198;H400 146 - UGC 5572;10h19m55s;45d32m58s;Ursa Major;Galaxy;10.1;13.3;8.1'x3.0';35;22;-;-;XS(36/6);
NGC 3226;H400 147 - UGC 5617;10h23m27s;19d53m49s;Leo;Galaxy;11.4;13.0;2.5'x2.2';15;46;-;-;XS(76/12);
NGC 3227;H400 148 - UGC 5620;10h23m30s;19d51m53s;Leo;Galaxy;10.4;13.9;6.6'x5.0';155;46;-;-;XS(75/8);
